,Title,Link,Content
0,LIVE: By-elections 2018 unofficial results,https://www.pakistantoday.com.pk/2018/10/14/live-by-elections-2018-unofficial-results/,"by News Desk , (Last Updated October 14, 2018)

The polling for by-elections on 35 National and Provincial Assembly seats has concluded peacefully and while the vote counting is underway, unofficial results have started pouring in.

The voting process began at 8am on Sunday, with over 300 candidates, including some famous politicians, in the run. Over 9.9 million ballot papers had been printed for the by-polls as the polling continued until 5pm without a break.

The seats include 11 from NA, nine from Khyber Pakhtunkhwa (KP) Assembly, 11 from Punjab and two each from Balochistan and Sindh assemblies.

NA-35: MMA’s Zahid Durrani leads with 20,066 votes. PTI’s Nasim Ali Shah follows with 13,110 votes.

NA-53: PTI’s Ali Nawaz Awam leads with 27,946 votes. PML-N’s Waqar Ahmed in second place with 15,510 votes.

NA-56: PML-N’s Malik Sohail Khan leads with 58903 votes, followed by Malik Khurram Ali who has so far bagged 39498 votes.

NA-60: PTI’s Sheikh Rashid Shafique leads with 29105 votes, followed by PML-N’s Sajjad Khan with 28,292 votes.

NA-63: No results yet.

NA-65: PML-Q’s Chaudhry Salik Hussain won the by-polls in NA-65 Chakwal with 98,364 votes. Hussain was followed by TLP’s Mohammad Yaqoob who could only secure 34,811 votes.

NA-69: PML-Q’s Moonis Elahi leads with 729 votes. Elahi is followed by PML-N’s Imran Zafar, who has so far secured 230 votes.

NA-103: No results yet.

NA-124: PML-N’s Shahid Khaqan Abbasi won the by-polls in NA-124 Lahore with 75012 votes, unofficial and unconfirmed results suggested. Abbasi was followed by PTI’s Ghulam Mohiuddin, who could secure 30115 votes.



NA-131: PML-N’s Khawaja Saad Rafique leads with 6442 votes to his credit. PTI’s Hammyun Akhtar Khan follows with 6179 votes.

NA-243: PTI’s Alamgir Khan takes lead in NA-243 by-polls with 4514 votes. Khan is followed by MQM-P’s Amir Chishti, who has so bagged 1484 votes.

PS-30: PPP’s Syed Ahmed Raza Shah Jeelani leads with 4047 votes, followed by GDA’s Syed Muharram Ali Shah, who has so far bagged 1789 votes.

PS-87: PPP’s Muhammad Sajid leads with 2867 votes. Sajid is followed by PTI’s Qadir Bux Khan Gabol with 1508 votes.

PB-35: Independent candidate Nawab Muhammad Aslam Khan Raisani leads with 1470 votes. Raisani followed by BAP’s Sardar Noor Ahmed with 1034 votes.

PB-40: BNP’s Muhammad Akbar leads with 4382, followed by independent candidate Mir Shafiqur Rehman Mengal, who has so far secured 3038 votes.

PP-3: PTI’s Muhammad Akbar Khan leads with 5006 votes. Khan is followed by PML-N’s Iftikhar Ahmed Khan with 2724 votes.

PP-27: PML-N’s Nasir Mehmood leads with 22115 votes, followed by PTI’s Shahnawaz Raja with 21129 votes.

PP-87: PTI’s Malik Ahmad Khan elected unopposed.

PP-103: PML-N’s Jafar Ali leads with 1740 votes, followed by PTI’s Shamsher Haider, who has so far bagged 1420 votes.

PP-118: Independent candidate Chaudhary Bilal Asghar leads with 358 votes. He is followed by PTI’s Asad Zaman with 302 votes.

PP-164: PML-N’s Sohail Shaukat Butt leads with 4386 votes. PTI’s Yousuf Ali in second place with 3345 votes.

PP-165: PML-N’s Malik Saiful Malook Khokhar won by-polls in PP-165 by bagging 28589 votes, according to unofficial and unconfirmed results. PTI’s Mohammad Mansha Sindhu stood runner-up with 23149 votes to his credit.

PP-201: PTI’s Samsam Bukhari won by-polls in PP-201 Sahiwal with 58280 votes, unofficial and unconfirmed results suggested. Bukhari was followed by PML-N’s Muhammad Tufail, who attained 51622 votes.

PP-222: No results yet.

PP-261: PTI’s Fawaz Ahmed leads with 8580 votes, followed by PPP’s Makhdoom Hassan Raza Hashmi with 2370 votes.

PP-272: PTI’s Zahra Batool leads in by-polls with 13200 votes. Independent candidate Syed Haroon Ahmed Sultan in second place with 6686 votes.

PP-292: PML-N’s Sardar Awais Leghari won the by-election in PP-292 by attaining 32845 votes, unofficial and unconfirmed results suggested. PTI’s Sardar Maqsood Laghari stood runner-up with 21938 votes.

PK-3: PML-N’s Sardar Khan wins PK-3 by-polls with 16824 votes to his credit, according to unofficial and unconfirmed results. PTI’s Sajid Ali stood second in the run with 15911 votes.

PK-7: ANP’s Waqar Ahmad Khan leads with 8227 votes. PTI’s Fazal Maula in second place with 8150 votes.

PK-44: PTI’s Aqibullah Khan won by-election in PK-44 with 18676 votes, unofficial and unconfirmed results suggested. Khan was followed by ANP’s Ghulam Hassan, who secured 17067 votes.

PK-53: PTI’s Muhammad Abdul Salam leads with 12308 votes. ANP’s Ahmed Khan in second place with 12205 votes.

PK-61: PTI’s Muhammad Ibrahim Khattak leads with 10886 votes. ANP’s Noor Alam Khan follows with 6745 votes.

PK-64: PTI’s Liaquat Khan leads the by-polls with 14395 votes. Khan is being followed by ANP’s Muhammad Shahid with 5490 votes.

PK-78: ANP’s Samar Haroon Bilour leads with 13425 votes, followed by PTI’s Muhammad Irfan Abdul Salam with 11037 votes.

PK-97: PTI’s Faisal Amin Khan won PK-97 by-election by bagging 18170 votes, unofficial and unconfirmed results suggested. Khan was followed by PPP’s Farhan Afzal Malik, who secured 7609 votes.

PK-99: PTI’s Aghaz Ikram Ullah Gandapur leads with 22140 votes. Independent candidate Fateh Ullah Khan in second place with 14143 votes."
1,"Elections 2018: Political leaders, prominent personalities cast vote",https://www.pakistantoday.com.pk/2018/07/25/elections-2018-political-leaders-prominent-personalities-cast-vote/,"LAHORE/ISLAMABAD/KARACHI: Several political leaders and prominent personalities on Wednesday cast their vote during Pakistan’s 11th general election.

Former Punjab chief minister and Pakistan Muslim League-Nawaz (PML-N) President Shehbaz Sharif was among the first people to cast his vote. He voted in his home constituency NA-130 where Pakistan Muslim League-Nawaz’s (PML-N) Khawaja Hassan and Pakistan Tehreek-i-Insaf’s (PTI) Shafqat Mehmood had a head-to-head contest. His mother Shamim Akhtar voted in Islamia College of Lahore.

PTI Chairman Imran Khan cast his vote in NA-53 Islamabad. President Mamnoon Hussain went to his home constituency NA-247 Karachi while Chief Justice of Pakistan voted in NA-130 Lahore in Barkat Market.

Chief of Army Staff (COAS) General Qamar Javed Bajwa and his wife cast their vote at Rawalpindi whereas former army chief Gen (r) Raheel Sharif casts his vote in NA-129.

Former prime minister Shahid Khaqan Abbasi cast vote in NA-57 Murree. Former president and PPP co-chairman Asif Ali Zardari, his daughters Bakhtawar and Asifa Bhutto voted in Nawab Shah.

Pakistan People’s Party (PPP) Chairman Bilawal Bhutto Zardari voted in Larkana’s NA-200 constituency. During his media talk, he hoped that the nation will vote with full strength.

Ex-opposition leader in National assembly Khursheed Shah cast his vote in Sukkur’s NA-207 constituency. Speaking to media, he hoped for fair elections. Shah maintained that PPP has worked for the continuity of democracy in the country while conducting transparent elections is a major responsibility of army.

Muttahida Qaumi Movement-Pakistan (MQM-P) leader Dr Farooq Sattar voted in NA-245 constituency Karachi. He vowed to win all traditional seats.

Muttahida Majlis-e-Amal (MMA) leader Maulana Fazlur Rehman cast vote in his native town in Dera Ismail Khan. He said a change will come as the structure of government is altering."
2,Elections 2018: Pak-Afghan borders to remain closed for two days,https://www.pakistantoday.com.pk/2018/07/24/elections-2018-pak-afghan-borders-to-remain-closed-for-two-days/,"ISLAMABAD: Pakistan’s borders with Afghanistan at Chaman and Kharlachi will remain closed for two days because of the general elections taking place on July 25.

It was reported that the Foreign Office Spokesperson Dr Muhammad Faisal said, “The crossing points on Pakistan-Afghanistan border at Chaman and Kharlachi will remain closed on July 24-25 2018, coinciding with the general election in Pakistan.”

“Torkham will, however, remain open for normal traffic,” the spokesman added.

It had been reported that the Election Commission of Pakistan has asked Pakistan Army and the Rangers for assistance on the election day to ensure the smooth conduct of polls, especially at sensitive polling stations.

“At least 350,000 armed forces personnel will be deployed across different election areas on July 25.”

Besides, police personnel will also be deployed inside and outside polling stations to ensure implementation of the ECP’s code of conduct.

Troops will only aid in holding peaceful polls, he informed the Senate’s interior committee while citing that nearly 20,000 polling stations have been declared sensitive in a meeting of National Counter Terrorism Authority."
3,Elections 2018: Presiding officer from PS-93 arrested over electoral malpractice,https://www.pakistantoday.com.pk/2018/07/23/elections-2018-presiding-officer-from-ps-93-arrested-over-electoral-malpractice/,"KARACHI: The Sindh Police on Monday arrested a presiding officer from the PS-93 constituency in Karachi for electoral malpractice, ahead of the general elections on July 25.

It was reported by the police, that the presiding officer, identified as Waheedullah was assigned for election duty at the PS-93 constituency but he sent another person to substitute him for election duty.

“The presiding officer was arrested on the orders of the Returning Officer,” police said, adding that the other suspect, Zubair fled from the scene.

Earlier, on Saturday, six polling officers were arrested in the Sanghar and Sehwan districts of Sindh after they were caught trying to open postal ballot papers.

The arrested officers included Assistant Returning Officer (ARO) Qurban Ali Memon, a clerk at the local tehsil office Muhammad Saleh, senior clerk Abid Ali, junior clerk Mohammad Aslam, and two teachers Ghulam Mustafa Solangi and Abdul Aziz.

It had been reported by the Election Commission of Pakistan that ‘as many as 1.6 million electoral staff are assigned duties on the election day.”

Moreover, 449, 465 policemen will be deployed on July 25, out of which 202,100 will be posted in Punjab and Islamabad while 100,500 policemen will be stationed in Sindh.

In Khyber Pakhtunkhwa, 87,269 policemen will be on duty. As many as 300,071 army personnel will be deployed nationwide."
4,Elections 2018: ECP encourages women participation in every constituency,https://www.pakistantoday.com.pk/2018/07/22/elections-2018-ecp-encourages-women-participation-in-every-constituency/,"ISLAMABAD: Two provincial chapters of the Election Commission of Pakistan (ECP) on Saturday stated that any area where women are stopped from voting or face hindrances during the election could face disqualification from the election in its constituency.

As the country prepares for elections on July 25, the ECP’s Khyber Pakhtunkhwa (KP) and Balochistan chapters took notice of some reported deals that had been made to not allow local women to vote.

“The results of any constituency would be declared invalid should the female turnout be lower than 10 per cent,” said the ECP officials, adding, “any person found involved in or facilitating such a deal may face up to three years in prison.”

According to Pir Maqbool Ahmed, the provincial election commissioner, “The candidates for the upcoming general election and other leaders and politicians should try to ensure that all women take part in the voting process.”

“Further steps will be taken to stop such deals from materialising in the first place,” he added."
5,Elections 2018,https://www.pakistantoday.com.pk/2018/07/22/elections-2018-3/,"And Orwellian Doublespeak

Despite hiccups aplenty, Elections 2018 are finally being held. Pakistan in its checkered political history since 1970 has held ten national elections. But 2018 is unique in many respects.

Serious doubts have been expressed about the fairness of these elections. Except for the PTI (Pakistan Tehreek-e-Insaf) questions have been raised at the ability of the Election Commission of Pakistan (ECP) and the caretaker governments at the federal level and in the provinces to provide a level playing field to all the parties.

Mechanically speaking on polling day voters are expected to have the freedom to exercise their franchise freely. But voters have already been presented with a fait accompli of sorts. The real rub is in fairness of the whole process that started many months ago to break the back of the PML-N, especially in its stronghold Punjab.

Not only the erstwhile ruling party, the PPP and some other political parties have complained of the not so hidden hand exerting maximum pressure on ‘electable’ candidates of these parties to switch their loyalties to the PTI. The sleuths have played their cards by cajoling, browbeating or even threatening candidates to switch their loyalties, albeit with mixed results.

The PML-N by default or by design (perhaps both) has been at the receiving end of the stick. It’s main vote catcher three times prime minister Nawaz Sharif is now incarcerated serving a 10 year jail sentence along with his daughter and heir apparent for seven years, both convicted on charges of corruption.

Not that he is squeaky clean, but the unholy haste shown to put Sharif away just before the elections date smacks of political vendetta according to critics. The ubiquitous establishment answering charges of meddling in the process blandly claims that it has nothing to do with (managing the) elections. But those in the PML-N-and the PPP to a lesser extent claim that they have been consistently arm-twisted by middle to lower level sleuths.

Plans were slightly upset when contrary to expectations that Sharif on the pretext of tending to his ailing wife in London will not return to serve his jail sentence. But he surprised many by heading to Lahore along with his daughter.

The caretakers and the security agencies were constrained to put the city under siege. Mobile telephone services were suspended and the Rangers blocked major arteries by placing scores of containers on that fateful Friday.

The main purpose to block Sharif’s possible interaction with his supporters was achieved when as soon as he arrived he was successfully whisked away to Adiala Jail near Rawalpindi. But the whole operation further damaged the credibility of the upcoming elections.

Another collateral damage has been the credibility and impartiality (or rather lack of it) of the caretaker provincial government in Punjab. Headed by a respected former academic the chief minster and his cabinet never rose above their personal biases against the PML-N and in favour of the PTI.

Not that he is squeaky clean, but the unholy haste shown to put Sharif away just before the elections date smacks of political vendetta according to critics

Some of the cabinet members of the Punjab caretaker setup are in fact cardholder members of the PTI. In the meanwhile scores of PML-N workers are being held either without any charges or on spurious grounds. Those who had assumed the days of preventive detentions harking back to military rules are in a state of shock.

No stone is being left unturned to ensure victory of the King’s party at the hustings. But yet there are apprehensions in some quarters that the PML-N despite the odds heavily stacked against it might just bag enough seats to remain a major player.

Perhaps the PML-N president Shahbaz Sharif is reading too much into the lackluster crowds at the Khan’s recent election meetings. But the PTI chief is rightly hopeful that he will be able to sweep the elections and form a government on his own strength in the parliament. This is quite possible but not without some favourable tailwind from the powers that be.

The conventional wisdom is a hung parliament. But many a time the war gamers have been proved wrong in the past. In the 1970 elections it was not being anticipated that Zulfiqar Ali Bhutto with his newly formed rag tag PPP would sweep in West Pakistan and Sheikh Mujeeb Ur Rehman in East Pakistan.

More recently general Musharraf in the 2002 elections carved out PML-Q from the leaderless PML-N and the Patriots from the PPP. Despite the intensely overt engineering the King’s party could barely scrape through to form a government.

In the present scenario despite concerted efforts to break the back of the PML-N it is largely intact. In Baluchistan the overnight emergence of BAP (Baluchistan Awami Party) earlier in the year was a new phenomenon without which the PML-N could not have been deprived of a majority in the Senate, thus enabling it to amend the constitution to its own advantages.

Similarly the now defunct Janoobi Punjab Sooba Mahaz (South Punjab Province Front) comprised of turncoats will go the way the wind blows, just like a weathercock.

Another interesting development to watch is how some of the jehadists and sectarian outfits fare in the elections. Of course some of these proscribed organizations were overnight dry cleaned to participate in the elections. Perhaps their assigned role is to play the ubiquitous spoiler.

In the past such infantile strategies have boomeranged. The Taliban and the MQM were created as a result of this very mindset.

PML–N senators including Pervez Rashid and Mushahid Hussain Syed have demanded that the election commission of Pakistan (ECP) and the caretaker government address their concerns about fairness of the election process urgently. Perhaps it is too late in the day for the PML-N senators to complain, as the die has already been cast.

Those who had assumed the days of preventive detentions harking back to military rules are in a state of shock

In the Islamic Republic, this is an age of Orwellian doublespeak. Everything including the elections is ostensibly being conducted to strengthen democracy. But the real – albeit unstated – purpose is to achieve just the opposite.

George Orwell in his eerily futuristic novel Nineteen Eighty-Four about the powers of a totalitarian state never used the word “double speak”. Nonetheless doublespeak came to be known as: a language that deliberately obscures disguises or reverses the meaning of words.

Surely elections 2018 just might prove to be the ultimate Orwellian elections."
6,Elections 2018: Facebook collaborates with ECP to assist voters,https://www.pakistantoday.com.pk/2018/07/20/elections-2018-facebook-collaborates-with-ecp-to-assist-voters/,"Social media platform Facebook in collaboration with the Election Commission of Pakistan (ECP) is helping over 33 million voters, who are users, in Pakistan identify their constituencies and make sure their votes are registered.

Pakistani users receive a pop up in their news feed when they log onto the social media platform which reads, “Are you registered to vote? Text your CNIC to 8300 to make sure that you’re registered to vote in the election. SMS fees may apply.”

Clicking on the pop up redirects you to the ECP’s website where additional information about the electoral process is available for the knowledge of the voters.

Earlier this month, Facebook had partnered with the federal body to ensure the safety of users during the election season."
7,PPP can win one NA seat from Attock district in elections 2018,https://www.pakistantoday.com.pk/2018/07/18/ppp-can-win-one-na-seat-from-attock-district-in-elections-2018/,"–Number of National Assembly seats in Attock reduced to 2 following preliminary delimitation

ISLAMABAD: A mixed result from Attock district is likely in the upcoming general election as a healthy competition is expected among the candidates contesting for the seats of the national assembly (NA) and provincial assembly (PA).

According to a preliminary revised delimitation list by ECP, Attock’s member of national assembly (MNA) seats have decreased from three to two, while the constituencies for Punjab Assembly have also witnessed a decrease from 8 to 7 seats. The total registered voters are 1,146,665 including 615,708 male and 530,957 female voters.

NA-55 Attock-II

In NA-55 of Attock district, the actual race is among three candidates out of many. The candidate of Pakistan Tehreek-e-Insaf (PTI) is a famous politician Major (r) Tahir Saddiq, Pakistan Muslim League-Nawaz’s (PML-N) candidate is Sheikh Aftab, and Zulfiqar Hayat is of Pakistan People’s Party (PPP).

At present, election campaigns of all three candidates are in full swings in the area. Although seasoned politician Sheikh Aftab of PML-N is considered to be a strong candidate to win NA-55, however, Major Sadiq has been giving the PML-N candidate a tough time with his strong election campaign. It is likely that Major Sadiq may win the constituency with a handsome margin as important families, groups, and panels have joined the ‘Major Group’.

NA-56 Attock-II

A strong fight is expected among five candidates who are Major Sadiq of PTI, Malik Sohail of PML-N, Pir Faisal Shahzad of Tehreek Labaik Ya Rasool Allah (TLY), Sardar Saleem Haider of PPP and independent candidate Malik Shaharyar Khan.

Each candidate is running his campaign with zeal, zest and the confidence that he will win with a majority of voters. However, a surprising result in favour of PPP candidate Sardar Saleem Haider is largely anticipated, especially after the PPP co-chairman Bilawal Bhutto Zardari’s recent visit in the area in addition to, door to door campaigning.

Major Sadiq is popular among the public and is a strong candidate but he is participating from two constituencies and one provincial assembly seat that are NA-55 and NA-56. It is said that he will win one NA seat and one provincial assembly seat from the district.

Another strong candidate is Malik Sohail from PML-N. Malik had earlier joined PTI but left the party due to some differences with Major Sadiq.

Malik Shahryar Khan is an independent candidate launched by famous ‘Khonda Group’ of the district after he was refused a ticket by PML-N. The Khonda family is the owner of 84 villages of the district, while ‘Khonda Group’ has a handsome vote bank in the entire district. Malik Shaharyar Khan is the son of former MNA and head of ‘Khonda Group’ Malik Allah Yar Khan.

PP-I Attock

Six candidates are contesting from PP-I and a tough competition is expected here. A tough competition is likely particularly between PTI’s Yawar Bokhari and an independent candidate Malik Hameed Akbar. Other candidates include Sheikh Salman Sarwar of PML-N and Malik Iqbal of MMA who are also in the run but the neck to neck competition will be between Bokhari and Malik Hameed.

PP-II Attock

Despite the participation of several candidates, a tough competition is likely among four candidates who are Qazi Ahmed Akbar of PTI, Jahangir Khanzada of PML-N, Ahmed Taj Khanzada of PPP and Changez Khan of MMA.

It is relevant to mention that so far, Khan and Taj Khanzada have gained a strong position during the election campaign. Changez Khan is said to be the right-hand man of Major Sadiq and it is estimated that he will give a tough time in the polls.

Also, Taj Khanzda being the son of the Khanzada family chief Taj Khanzada and contesting for the very first time on a PPP party ticket is in a strong position.

PP-III Attock

There is strong competition among three candidates of PP-III. These candidates include Major Sadiq, Haji Riaz Balrah of PPP and Advocate Asif Ali Malik who is a relative of Chaudry Nisar Ali Khan. So far, Major Sadiq has gained a strong position in the area and it is likely that he will win the provincial assembly seat from here.

Moreover, this is Major Sadiq’s native constituency.

PP-IV Attock

A healthy competition among four candidates is expected in PP-4 of Attock district. PPP has given party ticket to an old party worker Haji Akhtar to contest the election, while Chaudry Sher Ali, farmer provincial minister is ticket holder of PML-N, and Col. retd. Anwar is from PTI and Amanat Rawal has party ticket of TLY to give tough time to other competitors in the polls. At present, the position of TLY candidate, who is said very close to Major retd Tahir Saddiq, is strong. However, if Chaudry Sher Ali of PML-N succeeds in convincing angry groups and families who were with him in elections 2013 and senior leadership of PML-N pay visit in the area then he can win the seat but with a close margin.

PP-V Attock

Though there is a competition to win PP-5 seat among the candidates, actual competition on 5th July 2018 is expected among an independent candidate, PML-N candidate and PTI’s candidate. PML-N has awarded ticket to Sardar Bahadur and Jamshaid Altaf has PTI’s ticket while Pir Abbas Mohiuddin is participating in the election as independent candidate. All the candidates are currently engaged to acquire consent/approval of major groups and biradaries. So far, an independent candidate has gained major success in getting the approval of main groups/panels and biradaries of this constituency.

Independent candidate Pir Abbas Mohiuddin is giving a tough time to his rivals and there are greater chances of his success in next elections. Pir Abbas Mohiuddin is the son of farmer parliamentarian Pir Safiuddin who is a close relative of former prime minister Syed Yusuf Raza Gilani and the top man/’Gaddi Nasheen’ of the shrine of Makhad Sharif.

PPP candidate for NA-56 Sardar Saleem Haider is fully supporting the independent candidate and in return getting the vote bank of Pir Abbas Mohiuddin.

It is important to note here that wrong party ticket distribution by PTI might result in losing the PP-5 seat as party ticket holder Jamshaid Altaf belongs to Hassan Abdal and has no deep roots, linkages or vote bank in the area."
8,Elections 2018: Bilawal promises food cards for masses,https://www.pakistantoday.com.pk/2018/07/02/elections-2018-bilawal-promises-food-cards-for-masses/,"Says his ‘warm’ welcome in Lyari did not go down well with opponents

THATTA: Pakistan People’s Party (PPP) Chairman Bilawal Bhutto Zardari Monday said that after coming into power, his party would provide food cards to the masses.

Bilawal was speaking to his supporters in Gharo city of Thatta district while campaigning for the forthcoming elections. He said that they had presented their manifesto, noting that the party initiated revolutionary programmes like Benazir Income Support Programme (BISP).

“PPP has always served the people and now I will resolve public issues by myself,” he said and added, “We will provide food cards to masses through which they will get subsidised food.”

Bilawal told the participants that he needed their support and urged them to become his arms. “I want to change the fate of the country, and if the people are with us, then no one can stop us,” he said.

The PPP chief said that eliminating hunger was a part of his party’s manifesto. “We will open food centres in every area, which will be run by women.”

Undeterred by a mob attack on his caravan a day earlier during his electoral rally in Karachi’s Lyari neighbourhood, Bilawal hit the city’s roads once again early Monday.

“PPP does not believe in the politics of violence,” the PPP chairman said, as he stepped out of his car en route to interior Sindh to address supporters.

“My warm welcome in Lyari did not go down well with opposing parties,” he added.

Speaking to supporters in Quaidabad, he said that stones were pelted at his rally on Sunday under a conspiracy.

The PPP chairman is due to visit Sujawal, Badin, Tando Mohammad Khan and Hyderabad districts on Monday.

After Sindh, Bilawal will campaign in southern Punjab and then on to the rest of the country. A detailed travel log of the PPP chief is yet to be issued by the party."
9,Elections 2018: Parties resort to monotonous campaigning in Rawalpindi,https://www.pakistantoday.com.pk/2018/06/29/elections-2018-parties-resort-to-monotonous-campaigning-in-rawalpindi/,"RAWALPINDI: With the elections, just a few weeks away, the campaigning for various parties has been limited to posters and banners due to the high temperature in the city and the lack of interest from the locals in Rawalpindi, a local media house reported.

This had been visible throughout the city as the election momentum has not yet been picked up by the party workers, thus resorting to the monotonous campaigning concept.

According to the local media report, during the previous elections in 2013, parties like Pakistan People’s Party (PPP) established its central elections office on Liaquat Road, Pakistan Tehreek-e-Insaf (PTI) on Murree Road and the Pakistan Muslim League -Nawaz (PML-N) on both.

However, as of now, the parties are more interested in settling disputes over the distribution of party tickets than actively campaigning for their candidates.

Other than Awami Muslim League’s Sheikh Rashid Ahmed, who has opened Lal Haveli to the public, political parties in the city have not made decisions on their elections schedule or central offices yet.

A senior PPP leader stated that the candidates are not willing to spend money. thus the party’s popularity in the city is not visible. Moreover, no plans for any public meetings had been decided.

Former PML-N MNA Malik Shakil Awan said electioneering was limited to door-to-door and street campaigning, and an election office would be established by the National Assembly candidate soon.

Former PTI MPA Arif Abbasi also admitted to a lack of momentum in the party’s campaigning because of a lack of interest on the part of candidates and workers.

During the 2013 elections, campaigning began two months earlier, with the inauguration of the PTI’s central office by Chairman Imran Khan. This time, however, the party was not interested in the work needed to establish a central office that will coordinate with all seven National Assembly constituencies in the district."
